year,fuel consumption
2025,282
2026,282
2027,282
2028,282
2029,282
2030,282
2031,282
2032,282
2033,282
2034,282
2035,282
2036,282
2037,282
2038,282
2039,282
2040,282
2041,282
2042,282
2043,282
2044,282
2045,282
2046,282
2047,282
2048,282
2049,282
2050,282
2051,282
2052,282
2053,282
2054,282
2055,282
2056,282
2057,282
2058,282
2059,282
2060,282
2061,282
2062,282
2063,282
2064,282
2065,282
2066,282
2067,282
2068,282
2069,282
2070,282
2071,282
2072,282
2073,282
2074,282
2075,282
2076,282
2077,282
2078,282
2079,282
2080,282
2081,282
2082,282
2083,282
2084,282
2085,282
2086,282
2087,282
2088,282
2089,282
2090,282
2091,282
2092,282
2093,282
2094,282
2095,282
2096,282
2097,282
2098,282
2099,282
2100,282
